disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
5035,,,,,10455.91,10455.91,,2023-10-09T00:00:00.000Z,,0,2b3ea939e19f9d4d41eb8b057447c09065ec64e3,2023-10-09T04:03:28.911Z,a893b9f5-4e06-409e-a109-3732680c0d45
5036,,,,,563414.74,6665.84,,2023-10-09T00:00:00.000Z,,0,ecb6986c61584a191168b174328abf8ae0e5f343,2023-10-09T04:03:28.911Z,d45d766e-a3b7-446e-89d6-43c05774d847
5037,,,,,30712289.96,65129.22,,2023-10-09T00:00:00.000Z,,0,86f7708ab8f0f7254d30d75ccd3e76d17599bdb9,2023-10-09T04:03:28.911Z,c8cde5ed-3d62-47cf-8bf2-6a1ef5e478bb
5038,,,,,6824731.93,53280.54,,2023-10-09T00:00:00.000Z,,0,d8c4cb71ffc3f022082fa054637080d4d4994387,2023-10-09T04:03:28.911Z,d57c8099-b801-4e58-bea6-7d6c9897e769
5039,,,,,3790767.48,,,2023-10-09T00:00:00.000Z,,0,1c71726093a81043e5fef385929424b0b7b90110,2023-10-09T04:03:28.911Z,f80f0531-3135-4bc3-ad52-4eeb81592e68
5040,,,,,1715018.69,51662.53,,2023-10-09T00:00:00.000Z,,0,2447a771d475067989e3b213f1cbeea6847589e5,2023-10-09T04:03:28.911Z,e98e68d9-5161-489b-9321-f16af424207f
5041,,,,,5721365.01,201109.1,,2023-10-09T00:00:00.000Z,,0,2ae22a8f644050c56909dcea71f30ec75e961966,2023-10-09T04:03:28.911Z,c202fd94-3eb0-4198-aeef-7ebcee384a9d
5042,,,,,908893.49,7922.24,,2023-10-09T00:00:00.000Z,,0,591137bbaa8303eabfd31a0fcc7c1a39636a2cec,2023-10-09T04:03:28.911Z,ce5f0175-949f-4589-8cc0-4cb841f2dc63
5043,,,,,174850.88,23842.91,,2023-10-09T00:00:00.000Z,,0,63bfe2231b2a5dc0404ac5b0fccac2b02ece88ef,2023-10-09T04:03:28.911Z,99454276-6cd6-49c4-9687-f524d49eb51a
5044,,,,,1077214.49,36947.91,,2023-10-09T00:00:00.000Z,,0,dfcbccbcaec77cca6545224aa82c7f04fe8f28f0,2023-10-09T04:03:28.911Z,0f8f83b8-89ba-4963-90e1-66c343b0fc0d
